1,Bratislava ,Pressburg ,Pozsony ,462 607 ,Bratislavský kraj
2,Košice ,Kaschau ,Kassa ,238 722 ,Košický kraj
3,Prešov ,Eperies/Preschau ,Eperjes ,92 875 ,Prešovský kraj
4,Žilina ,Sillein ,Zsolna ,85 461 ,Žilinský kraj
5,Nitra ,Neutra ,Nyitr(i)a ,82 889 ,Nitranský kraj
6,Banská Bystrica ,Neusohl ,Besztercebánya ,78 724 ,Banskobystrický kraj
7,Trnava ,Tyrnau ,Nagyszombat ,70 271 ,Trnavský kraj
8,Martin ,(Turz-)Sankt Martin ,Turócszentmárton ,59 338 ,Žilinský kraj
9,Trenčín ,Trentschin ,Trencsén ,58 050 ,Trenčínský kraj
10,Poprad ,Deutschendorf ,Poprád ,57 004 ,Prešovský kraj
11,Prievidza ,Priwitz ,Privigye ,53 097 ,Trenčínský kraj
12,Zvolen ,Altsohl ,Zólyom ,43 812 ,Banskobystrický kraj
13,Nové Zámky ,Neuhäus(e)l ,Érsekújvár ,43 802 ,Nitranský kraj
14,Považská Bystrica ,Waagbistritz ,Vágbeszterce ,43 773 ,Trenčínský kraj
15,Michalovce ,Großmichel ,Nagymihály ,40 013 ,Košický kraj
16,Spišská Nová Ves ,(Zipser) Neu(en)dorf ,Igló ,39 913 ,Košický kraj
17,Komárno ,Komorn ,Komárom ,38 321 ,Nitranský kraj
18,Levice ,Lewenz ,Léva ,36 538 ,Nitranský kraj
19,Humenné ,Homenau ,Homonna ,35 157 ,Prešovský kraj
20,Bardejov ,Bartfeld ,Bártfa ,33 247 ,Prešovský kraj
21,Liptovský Mikuláš ,Liptau-Sankt Nikolaus ,Liptószentmiklós ,33 007 ,Žilinský kraj
22,Piešťany ,Pistyan ,Pöstyén ,30 606 ,Trnavský kraj
23,Ružomberok ,Rosenberg ,Rózsahegy ,30 517 ,Žilinský kraj
24,Topoľčany ,Topoltschan ,Nagytapolcsány ,28 968 ,Nitranský kraj
25,Lučenec ,Lizenz ,Losonc ,28 332 ,Banskobystrický kraj
26,Čadca ,Tschadsa ,Csáca ,26 699 ,Žilinský kraj
27,Dubnica nad Váhom ,Dubnitz an der Waag ,Vágtölgyes ,25 995 ,Trenčínský kraj
28,Rimavská Sobota ,Großsteffelsdorf ,Rimaszombat ,25 088 ,Banskobystrický kraj
29,Partizánske ,- ,Simony ,24 907 ,Trenčínský kraj
30,Šaľa ,Schala ,Vágsellye/Sellye ,24 564 ,Nitranský kraj
31,Hlohovec ,Freistadt(l) ,Galgóc ,23 729 ,Trnavský kraj
32,Dunajská Streda ,Niedermarkt ,Dunaszerdahely ,23 519 ,Trnavský kraj
33,Vranov nad Topľou ,Vronau an der Töpl ,Varannó ,22 985 ,Košický kraj
34,Brezno ,Bries ,Breznóbánya ,22 875 ,Banskobystrický kraj
35,Trebišov ,Trebischau ,Tőketerebes ,22 342 ,Košický kraj
36,Nové Mesto nad Váhom ,Neustadt an der Waag ,Vágújhely ,21 327 ,Trenčínský kraj
37,Snina ,Snina ,Szinna ,21 325 ,Prešovský kraj
38,Senica ,Senitz ,Szenice ,21 253 ,Trnavský kraj
39,Pezinok ,Bösing ,Bazin ,21 028 ,Bratislavský kraj
40,Bánovce nad Bebravou ,Banowitz ,Bán ,20 901 ,Trenčínský kraj
41,Dolný Kubín ,Unterkubin ,Alsókubin ,19 948 ,Žilinský kraj
42,Žiar nad Hronom ,Heiligenkreuz ,Garamszentkereszt ,19 945 ,Banskobystrický kraj
43,Rožňava ,Rosenau ,Rozsnyó ,19 261 ,Košický kraj
44,Púchov ,Puchau ,Puhó ,18 833 ,Trenčínský kraj
45,Handlová ,Krickerhau ,Nyitrabánya ,18 018 ,Trenčínský kraj
46,Malacky ,Malatzka ,Malac(z)ka ,17 773 ,Bratislavský kraj
47,Sereď ,Sered ,Szered ,17 406 ,Trnavský kraj
48,Kežmarok ,Käsmark ,Késmárk ,17 383 ,Prešovský kraj
49,Kysucké Nové Mesto ,Kischütz-Neustadt ,Kisucaújhely ,16 558 ,Žilinský kraj
50,Galanta ,Galanta ,Galánta ,16 365 ,Trnavský kraj
51,Stará Ľubovňa ,Altlublau ,Ólubló ,16 227 ,Prešovský kraj
52,Zlaté Moravce ,Goldmorawitz ,Aranyosmarót ,15 618 ,Nitranský kraj
53,Detva ,Detwa ,Dettva/Gyetva ,15 122 ,Banskobystrický kraj
54,Skalica ,Skalitz ,Szakolca ,15 013 ,Trnavský kraj
55,Senec ,Wartberg ,Szenc ,14 673 ,Bratislavský kraj
56,Levoča ,Leutschau ,Lőcse ,14 304 ,Prešovský kraj
57,Veľký Krtíš ,- ,Nagykürtös ,12 524 ,Banskobystrický kraj
58,Revúca ,Groß-Rauschenbach ,Nagyrőcze ,13 466 ,Banskobystrický kraj
59,Myjava ,Miawa ,Miava ,13 142 ,Trenčínský kraj
60,Svidník ,Obersvidnik ,Felsővízköz ,12 428 ,Prešovský kraj
